날짜,순위,제목,가수
2024-11-06,47,해야 (HEYA),IVE (아이브)
2024-11-06,48,주저하는 연인들을 위해,잔나비
2024-11-06,49,밤양갱,비비(BIBI)
2024-11-06,50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-11-06,51,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-11-06,52,I AM,IVE (아이브)
2024-11-06,53,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-11-06,54,DRIP,BABYMONSTER
2024-11-06,55,너의 모든 순간,성시경
2024-11-06,56,슬픈 초대장,순순희 (지환)
2024-11-06,57,비의 랩소디,임재현
2024-11-06,58,To. X,태연 (TAEYEON)
2024-11-06,59,별별별 (See that?),NMIXX
2024-11-06,60,Attention,NewJeans
2024-11-06,61,숲,최유리
2024-11-06,62,ETA,NewJeans
2024-11-06,63,그녀가 웃었다,DAY6 (데이식스)
2024-11-06,64,Live My Life,aespa
2024-11-06,65,인사,범진
2024-11-06,66,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-11-06,67,헤어지자 말해요,박재정
2024-11-06,68,아직 거기 살아,DAY6 (데이식스)
2024-11-06,69,동화 속 아이처럼,성진 (DAY6)
2024-11-06,70,Boom Boom Bass,RIIZE
2024-11-06,71,Drama,aespa
2024-11-06,72,청혼하지 않을 이유를 못 찾았어,이무진
2024-11-06,73,I don’t wanna lose,성진 (DAY6)
2024-11-06,74,SPOT! (feat. JENNIE),지코 (ZICO)
2024-11-06,75,사건의 지평선,윤하(Younha/ユンナ)
2024-11-06,76,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2024-11-06,77,Spicy,aespa
2024-11-06,78,미안해 미워해 사랑해,Crush
2024-11-06,79,Super Shy,NewJeans
2024-11-06,80,After LIKE,IVE (아이브)
2024-11-06,81,Touch,KATSEYE
2024-11-06,82,사랑인가 봐,멜로망스(MeloMance)
2024-11-06,83,Dangerously,Charlie Puth(찰리 푸스)
2024-11-06,84,태양물고기,윤하(Younha/ユンナ)
2024-11-06,85,LOVE DIVE,IVE (아이브)
2024-11-06,86,나는 반딧불,황가람
2024-11-06,87,CRAZY,LE SSERAFIM (르세라핌)
2024-11-06,88,오래된 노래,허각
2024-11-06,89,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2024-11-06,90,Girls Never Die,tripleS (트리플에스)
2024-11-06,91,UNIVERSE,EPEX (이펙스)
2024-11-06,92,어디에도 없는 널,성진 (DAY6)
2024-11-06,93,Blue Moon,엔플라잉(N.Flying)
2024-11-06,94,Get A Guitar,RIIZE
2024-11-06,95,Flowers,aespa
2024-11-06,96,Firefly,엔플라잉(N.Flying)
2024-11-06,97,Cosmic,Red Velvet (레드벨벳)
2024-11-06,98,사랑은 늘 도망가,임영웅
2024-11-06,99,Die With A Smile,Lady GaGa(레이디 가가)
2024-11-06,100,나무는 결국 겨울을 견뎌낼 거야,성진 (DAY6)
2024-11-07,1,Whiplash,aespa
2024-11-07,2,APT.,로제(ROSÉ)
2024-11-07,3,POWER,G-DRAGON
2024-11-07,4,Mantra,제니 (JENNIE)
2024-11-07,5,UP (KARINA Solo),aespa
2024-11-07,6,HAPPY,DAY6 (데이식스)
2024-11-07,7,Drowning,WOODZ
2024-11-07,8,내 이름 맑음,QWER
2024-11-07,9,Supernova,aespa
2024-11-07,10,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-11-07,11,Welcome to the Show,DAY6 (데이식스)
2024-11-07,12,Cherish (My Love),아일릿(ILLIT)
2024-11-07,13,녹아내려요,DAY6 (데이식스)
2024-11-07,14,Igloo,KISS OF LIFE
2024-11-07,15,고민중독,QWER
2024-11-07,16,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-11-07,17,네모네모,YENA (최예나)
2024-11-07,18,Supernatural,NewJeans
2024-11-07,19,Supersonic,프로미스나인
2024-11-07,20,How Sweet,NewJeans
2024-11-07,21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-11-07,22,청춘만화,이무진
2024-11-07,23,Armageddon,aespa
2024-11-07,24,소나기,이클립스 (ECLIPSE)
2024-11-07,25,Over The Moon,투모로우바이투게더
2024-11-07,26,Small girl (feat. 도경수(D.O.)),이영지
2024-11-07,27,예뻤어,DAY6 (데이식스)
2024-11-07,28,MEOW,MEOVV (미야오)
2024-11-07,29,Sticky,KISS OF LIFE
2024-11-07,30,나는 아픈 건 딱 질색이니까,(여자)아이들
2024-11-07,31,에피소드,이무진
2024-11-07,32,천상연,이창섭
2024-11-07,33,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-11-07,34,첫 만남은 계획대로 되지 않아,TWS (투어스)
2024-11-07,35,Love wins all,아이유(IU)
2024-11-07,36,Magnetic,아일릿(ILLIT)
2024-11-07,37,Bubble Gum,NewJeans
2024-11-07,38,SOS,FIFTY FIFTY
2024-11-07,39,Ditto,NewJeans
2024-11-07,40,Love me or Leave me,DAY6 (데이식스)
2024-11-07,41,Gravity,FIFTY FIFTY
2024-11-07,42,Congratulations,DAY6 (데이식스)
2024-11-07,43,클락션 (Klaxon),(여자)아이들
2024-11-07,44,Hype Boy,NewJeans
2024-11-07,45,밤양갱,비비(BIBI)
2024-11-07,46,DRIP,BABYMONSTER
2024-11-07,47,I AM,IVE (아이브)
2024-11-07,48,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-11-07,49,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-11-07,50,Check Pattern,성진 (DAY6)
2024-11-07,51,주저하는 연인들을 위해,잔나비
2024-11-07,52,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-11-07,53,비의 랩소디,임재현
2024-11-07,54,해야 (HEYA),IVE (아이브)
2024-11-07,55,숲,최유리
2024-11-07,56,Attention,NewJeans
2024-11-07,57,To. X,태연 (TAEYEON)
2024-11-07,58,슬픈 초대장,순순희 (지환)
2024-11-07,59,너의 모든 순간,성시경
2024-11-07,60,ETA,NewJeans
2024-11-07,61,인사,범진
2024-11-07,62,별별별 (See that?),NMIXX
2024-11-07,63,헤어지자 말해요,박재정
2024-11-07,64,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-11-07,65,그녀가 웃었다,DAY6 (데이식스)
2024-11-07,66,나는 반딧불,황가람
2024-11-07,67,SPOT! (feat. JENNIE),지코 (ZICO)
2024-11-07,68,Drama,aespa
2024-11-07,69,사건의 지평선,윤하(Younha/ユンナ)
2024-11-07,70,Boom Boom Bass,RIIZE
2024-11-07,71,아직 거기 살아,DAY6 (데이식스)
2024-11-07,72,Live My Life,aespa
2024-11-07,73,미안해 미워해 사랑해,Crush
2024-11-07,74,청혼하지 않을 이유를 못 찾았어,이무진
2024-11-07,75,After LIKE,IVE (아이브)
2024-11-07,76,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2024-11-07,77,Touch,KATSEYE
2024-11-07,78,Spicy,aespa
2024-11-07,79,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2024-11-07,80,사랑인가 봐,멜로망스(MeloMance)
2024-11-07,81,Super Shy,NewJeans
2024-11-07,82,시리도록 눈부신,도영 (DOYOUNG)
2024-11-07,83,오래된 노래,허각
2024-11-07,84,Die With A Smile,Lady GaGa(레이디 가가)
2024-11-07,85,Dangerously,Charlie Puth(찰리 푸스)
2024-11-07,86,LOVE DIVE,IVE (아이브)
2024-11-07,87,Get A Guitar,RIIZE
2024-11-07,88,Blue Moon,엔플라잉(N.Flying)
2024-11-07,89,Cosmic,Red Velvet (레드벨벳)
2024-11-07,90,태양물고기,윤하(Younha/ユンナ)
2024-11-07,91,Girls Never Die,tripleS (트리플에스)
2024-11-07,92,Firefly,엔플라잉(N.Flying)
2024-11-07,93,사랑은 늘 도망가,임영웅
2024-11-07,94,CRAZY,LE SSERAFIM (르세라핌)
2024-11-07,95,Flowers,aespa
2024-11-07,96,달랐을까,PLAVE
2024-11-07,97,OMG,NewJeans
2024-11-07,98,동화 속 아이처럼,성진 (DAY6)
2024-11-07,99,New Jeans,NewJeans
2024-11-07,100,Kill It,aespa
2024-11-08,1,APT.,로제(ROSÉ)
2024-11-08,2,Whiplash,aespa
2024-11-08,3,POWER,G-DRAGON
2024-11-08,4,Mantra,제니 (JENNIE)
2024-11-08,5,UP (KARINA Solo),aespa
2024-11-08,6,HAPPY,DAY6 (데이식스)
2024-11-08,7,내 이름 맑음,QWER
2024-11-08,8,Drowning,WOODZ
2024-11-08,9,Supernova,aespa
2024-11-08,10,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-11-08,11,Welcome to the Show,DAY6 (데이식스)
2024-11-08,12,Cherish (My Love),아일릿(ILLIT)
2024-11-08,13,녹아내려요,DAY6 (데이식스)
2024-11-08,14,고민중독,QWER
2024-11-08,15,Igloo,KISS OF LIFE
2024-11-08,16,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-11-08,17,Supernatural,NewJeans
2024-11-08,18,네모네모,YENA (최예나)
2024-11-08,19,How Sweet,NewJeans
2024-11-08,20,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-11-08,21,Supersonic,프로미스나인
2024-11-08,22,청춘만화,이무진
2024-11-08,23,Armageddon,aespa
2024-11-08,24,소나기,이클립스 (ECLIPSE)
2024-11-08,25,Over The Moon,투모로우바이투게더
2024-11-08,26,Small girl (feat. 도경수(D.O.)),이영지
2024-11-08,27,예뻤어,DAY6 (데이식스)
2024-11-08,28,Sticky,KISS OF LIFE
2024-11-08,29,첫 만남은 계획대로 되지 않아,TWS (투어스)
2024-11-08,30,Love wins all,아이유(IU)
2024-11-08,31,MEOW,MEOVV (미야오)
2024-11-08,32,Magnetic,아일릿(ILLIT)
2024-11-08,33,에피소드,이무진
2024-11-08,34,나는 아픈 건 딱 질색이니까,(여자)아이들
2024-11-08,35,천상연,이창섭
2024-11-08,36,SOS,FIFTY FIFTY
2024-11-08,37,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-11-08,38,Bubble Gum,NewJeans
2024-11-08,39,Gravity,FIFTY FIFTY
2024-11-08,40,Ditto,NewJeans
2024-11-08,41,밤양갱,비비(BIBI)
2024-11-08,42,해야 (HEYA),IVE (아이브)
2024-11-08,43,클락션 (Klaxon),(여자)아이들
2024-11-08,44,Congratulations,DAY6 (데이식스)
2024-11-08,45,Hype Boy,NewJeans
2024-11-08,46,Love me or Leave me,DAY6 (데이식스)
2024-11-08,47,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-11-08,48,주저하는 연인들을 위해,잔나비
2024-11-08,49,DRIP,BABYMONSTER
2024-11-08,50,To. X,태연 (TAEYEON)
2024-11-08,51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-11-08,52,너의 모든 순간,성시경
2024-11-08,53,슬픈 초대장,순순희 (지환)
2024-11-08,54,숲,최유리
2024-11-08,55,I AM,IVE (아이브)
2024-11-08,56,별별별 (See that?),NMIXX
2024-11-08,57,비의 랩소디,임재현
2024-11-08,58,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-11-08,59,나는 반딧불,황가람
2024-11-08,60,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-11-08,61,ETA,NewJeans
2024-11-08,62,Attention,NewJeans
2024-11-08,63,인사,범진
2024-11-08,64,헤어지자 말해요,박재정
2024-11-08,65,SPOT! (feat. JENNIE),지코 (ZICO)
2024-11-08,66,미안해 미워해 사랑해,Crush
2024-11-08,67,Live My Life,aespa
2024-11-08,68,그녀가 웃었다,DAY6 (데이식스)
2024-11-08,69,사건의 지평선,윤하(Younha/ユンナ)
2024-11-08,70,청혼하지 않을 이유를 못 찾았어,이무진
2024-11-08,71,Drama,aespa
2024-11-08,72,Super Shy,NewJeans
2024-11-08,73,Boom Boom Bass,RIIZE
2024-11-08,74,Check Pattern,성진 (DAY6)
2024-11-08,75,Die With A Smile,Lady GaGa(레이디 가가)
2024-11-08,76,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2024-11-08,77,사랑인가 봐,멜로망스(MeloMance)
2024-11-08,78,아직 거기 살아,DAY6 (데이식스)
2024-11-08,79,Touch,KATSEYE
2024-11-08,80,Spicy,aespa
2024-11-08,81,오래된 노래,허각
2024-11-08,82,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2024-11-08,83,Dangerously,Charlie Puth(찰리 푸스)
2024-11-08,84,Cosmic,Red Velvet (레드벨벳)
2024-11-08,85,After LIKE,IVE (아이브)
2024-11-08,86,Get A Guitar,RIIZE
2024-11-08,87,Blue Moon,엔플라잉(N.Flying)
2024-11-08,88,Girls Never Die,tripleS (트리플에스)
2024-11-08,89,LOVE DIVE,IVE (아이브)
2024-11-08,90,태양물고기,윤하(Younha/ユンナ)
2024-11-08,91,CRAZY,LE SSERAFIM (르세라핌)
2024-11-08,92,사랑은 늘 도망가,임영웅
2024-11-08,93,Firefly,엔플라잉(N.Flying)
2024-11-08,94,Flowers,aespa
2024-11-08,95,OMG,NewJeans
2024-11-08,96,New Jeans,NewJeans
2024-11-08,97,Love Lee,AKMU(악뮤)
2024-11-08,98,달랐을까,PLAVE
2024-11-08,99,Seven (feat. Latto) - Clean Ver.,정국
2024-11-08,100,시리도록 눈부신,도영 (DOYOUNG)
2024-11-09,1,APT.,로제(ROSÉ)
2024-11-09,2,Whiplash,aespa
2024-11-09,3,POWER,G-DRAGON
2024-11-09,4,Mantra,제니 (JENNIE)
2024-11-09,5,UP (KARINA Solo),aespa
2024-11-09,6,HAPPY,DAY6 (데이식스)
2024-11-09,7,내 이름 맑음,QWER
2024-11-09,8,Drowning,WOODZ
2024-11-09,9,Supernova,aespa
2024-11-09,10,Over The Moon,투모로우바이투게더
2024-11-09,11,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-11-09,12,Welcome to the Show,DAY6 (데이식스)
2024-11-09,13,고민중독,QWER
2024-11-09,14,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-11-09,15,Igloo,KISS OF LIFE
2024-11-09,16,Cherish (My Love),아일릿(ILLIT)
2024-11-09,17,Supernatural,NewJeans
2024-11-09,18,녹아내려요,DAY6 (데이식스)
2024-11-09,19,네모네모,YENA (최예나)
2024-11-09,20,How Sweet,NewJeans
2024-11-09,21,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-11-09,22,Supersonic,프로미스나인
2024-11-09,23,청춘만화,이무진
2024-11-09,24,소나기,이클립스 (ECLIPSE)
2024-11-09,25,Armageddon,aespa
2024-11-09,26,예뻤어,DAY6 (데이식스)
2024-11-09,27,Small girl (feat. 도경수(D.O.)),이영지
2024-11-09,28,첫 만남은 계획대로 되지 않아,TWS (투어스)
2024-11-09,29,나는 아픈 건 딱 질색이니까,(여자)아이들
2024-11-09,30,Magnetic,아일릿(ILLIT)
2024-11-09,31,Sticky,KISS OF LIFE
2024-11-09,32,에피소드,이무진
2024-11-09,33,천상연,이창섭
2024-11-09,34,Bubble Gum,NewJeans
2024-11-09,35,Love wins all,아이유(IU)
2024-11-09,36,MEOW,MEOVV (미야오)
2024-11-09,37,클락션 (Klaxon),(여자)아이들
2024-11-09,38,Hype Boy,NewJeans
2024-11-09,39,밤양갱,비비(BIBI)
2024-11-09,40,해야 (HEYA),IVE (아이브)
2024-11-09,41,Ditto,NewJeans
2024-11-09,42,SOS,FIFTY FIFTY
2024-11-09,43,Love me or Leave me,DAY6 (데이식스)
2024-11-09,44,I AM,IVE (아이브)
2024-11-09,45,Congratulations,DAY6 (데이식스)
2024-11-09,46,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-11-09,47,Gravity,FIFTY FIFTY
2024-11-09,48,주저하는 연인들을 위해,잔나비
2024-11-09,49,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-11-09,50,DRIP,BABYMONSTER
2024-11-09,51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-11-09,52,To. X,태연 (TAEYEON)
2024-11-09,53,숲,최유리
2024-11-09,54,너의 모든 순간,성시경
2024-11-09,55,Attention,NewJeans
2024-11-09,56,나는 반딧불,황가람
2024-11-09,57,비의 랩소디,임재현
2024-11-09,58,ETA,NewJeans
2024-11-09,59,슬픈 초대장,순순희 (지환)
2024-11-09,60,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-11-09,61,인사,범진
2024-11-09,62,별별별 (See that?),NMIXX
2024-11-09,63,헤어지자 말해요,박재정
2024-11-09,64,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-11-09,65,SPOT! (feat. JENNIE),지코 (ZICO)
2024-11-09,66,사건의 지평선,윤하(Younha/ユンナ)
2024-11-09,67,Live My Life,aespa
2024-11-09,68,미안해 미워해 사랑해,Crush
2024-11-09,69,청혼하지 않을 이유를 못 찾았어,이무진
2024-11-09,70,Boom Boom Bass,RIIZE
2024-11-09,71,Super Shy,NewJeans
2024-11-09,72,Spicy,aespa
2024-11-09,73,Drama,aespa
2024-11-09,74,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2024-11-09,75,After LIKE,IVE (아이브)
2024-11-09,76,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2024-11-09,77,그녀가 웃었다,DAY6 (데이식스)
2024-11-09,78,오래된 노래,허각
2024-11-09,79,Dangerously,Charlie Puth(찰리 푸스)
2024-11-09,80,사랑인가 봐,멜로망스(MeloMance)
2024-11-09,81,아직 거기 살아,DAY6 (데이식스)
2024-11-09,82,Touch,KATSEYE
2024-11-09,83,LOVE DIVE,IVE (아이브)
2024-11-09,84,사랑은 늘 도망가,임영웅
2024-11-09,85,CRAZY,LE SSERAFIM (르세라핌)
2024-11-09,86,Blue Moon,엔플라잉(N.Flying)
2024-11-09,87,Girls Never Die,tripleS (트리플에스)
2024-11-09,88,Get A Guitar,RIIZE
2024-11-09,89,Die With A Smile,Lady GaGa(레이디 가가)
2024-11-09,90,태양물고기,윤하(Younha/ユンナ)
2024-11-09,91,Cosmic,Red Velvet (레드벨벳)
2024-11-09,92,Check Pattern,성진 (DAY6)
2024-11-09,93,Love Lee,AKMU(악뮤)
2024-11-09,94,Firefly,엔플라잉(N.Flying)
2024-11-09,95,OMG,NewJeans
2024-11-09,96,Seven (feat. Latto) - Clean Ver.,정국
2024-11-09,97,New Jeans,NewJeans
2024-11-09,98,Flowers,aespa
2024-11-09,99,달랐을까,PLAVE
2024-11-09,100,MANIAC,VIVIZ (비비지)
2024-11-10,1,APT.,로제(ROSÉ)
2024-11-10,2,Whiplash,aespa
2024-11-10,3,POWER,G-DRAGON
2024-11-10,4,Mantra,제니 (JENNIE)
2024-11-10,5,UP (KARINA Solo),aespa
2024-11-10,6,HAPPY,DAY6 (데이식스)
2024-11-10,7,내 이름 맑음,QWER
2024-11-10,8,Drowning,WOODZ
2024-11-10,9,Supernova,aespa
2024-11-10,10,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-11-10,11,Welcome to the Show,DAY6 (데이식스)
2024-11-10,12,Cherish (My Love),아일릿(ILLIT)
2024-11-10,13,Igloo,KISS OF LIFE
2024-11-10,14,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-11-10,15,고민중독,QWER
2024-11-10,16,녹아내려요,DAY6 (데이식스)
2024-11-10,17,네모네모,YENA (최예나)
2024-11-10,18,Supernatural,NewJeans
2024-11-10,19,How Sweet,NewJeans
2024-11-10,20,Supersonic,프로미스나인
2024-11-10,21,청춘만화,이무진
2024-11-10,22,Armageddon,aespa
2024-11-10,23,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-11-10,24,소나기,이클립스 (ECLIPSE)
2024-11-10,25,Small girl (feat. 도경수(D.O.)),이영지
2024-11-10,26,예뻤어,DAY6 (데이식스)
2024-11-10,27,첫 만남은 계획대로 되지 않아,TWS (투어스)
2024-11-10,28,DRIP,BABYMONSTER
2024-11-10,29,Sticky,KISS OF LIFE
2024-11-10,30,에피소드,이무진
2024-11-10,31,Love wins all,아이유(IU)
2024-11-10,32,나는 아픈 건 딱 질색이니까,(여자)아이들
2024-11-10,33,천상연,이창섭
2024-11-10,34,Magnetic,아일릿(ILLIT)
2024-11-10,35,Bubble Gum,NewJeans
2024-11-10,36,MEOW,MEOVV (미야오)
2024-11-10,37,Love me or Leave me,DAY6 (데이식스)
2024-11-10,38,Ditto,NewJeans
2024-11-10,39,SOS,FIFTY FIFTY
2024-11-10,40,나는 반딧불,황가람
2024-11-10,41,Congratulations,DAY6 (데이식스)
2024-11-10,42,해야 (HEYA),IVE (아이브)
2024-11-10,43,Gravity,FIFTY FIFTY
2024-11-10,44,밤양갱,비비(BIBI)
2024-11-10,45,숲,최유리
2024-11-10,46,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-11-10,47,클락션 (Klaxon),(여자)아이들
2024-11-10,48,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-11-10,49,주저하는 연인들을 위해,잔나비
2024-11-10,50,비의 랩소디,임재현
2024-11-10,51,Hype Boy,NewJeans
2024-11-10,52,I AM,IVE (아이브)
2024-11-10,53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-11-10,54,To. X,태연 (TAEYEON)
2024-11-10,55,ETA,NewJeans
2024-11-10,56,Attention,NewJeans
2024-11-10,57,여정,리베란테(Libelante)
2024-11-10,58,슬픈 초대장,순순희 (지환)
2024-11-10,59,너의 모든 순간,성시경
2024-11-10,60,Live My Life,aespa
2024-11-10,61,인사,범진
2024-11-10,62,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-11-10,63,별별별 (See that?),NMIXX
2024-11-10,64,Drama,aespa
2024-11-10,65,헤어지자 말해요,박재정
2024-11-10,66,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-11-10,67,청혼하지 않을 이유를 못 찾았어,이무진
2024-11-10,68,미안해 미워해 사랑해,Crush
2024-11-10,69,그녀가 웃었다,DAY6 (데이식스)
2024-11-10,70,사건의 지평선,윤하(Younha/ユンナ)
2024-11-10,71,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2024-11-10,72,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2024-11-10,73,SPOT! (feat. JENNIE),지코 (ZICO)
2024-11-10,74,Touch,KATSEYE
2024-11-10,75,Spicy,aespa
2024-11-10,76,Super Shy,NewJeans
2024-11-10,77,아직 거기 살아,DAY6 (데이식스)
2024-11-10,78,Dangerously,Charlie Puth(찰리 푸스)
2024-11-10,79,Boom Boom Bass,RIIZE
2024-11-10,80,Check Pattern,성진 (DAY6)
2024-11-10,81,오래된 노래,허각
2024-11-10,82,Girls Never Die,tripleS (트리플에스)
2024-11-10,83,After LIKE,IVE (아이브)
2024-11-10,84,사랑인가 봐,멜로망스(MeloMance)
2024-11-10,85,Blue Moon,엔플라잉(N.Flying)
2024-11-10,86,Over The Moon,투모로우바이투게더
2024-11-10,87,CRAZY,LE SSERAFIM (르세라핌)
2024-11-10,88,Die With A Smile,Lady GaGa(레이디 가가)
2024-11-10,89,LOVE DIVE,IVE (아이브)
2024-11-10,90,사랑은 늘 도망가,임영웅
2024-11-10,91,Cosmic,Red Velvet (레드벨벳)
2024-11-10,92,태양물고기,윤하(Younha/ユンナ)
2024-11-10,93,Get A Guitar,RIIZE
2024-11-10,94,Seven (feat. Latto) - Clean Ver.,정국
2024-11-10,95,Firefly,엔플라잉(N.Flying)
2024-11-10,96,OMG,NewJeans
2024-11-10,97,Love Lee,AKMU(악뮤)
2024-11-10,98,Flowers,aespa
2024-11-10,99,New Jeans,NewJeans
2024-11-10,100,눈물이 왈칵 쏟아진다,허각
2024-11-11,1,Whiplash,aespa
2024-11-11,2,APT.,로제(ROSÉ)
2024-11-11,3,POWER,G-DRAGON
2024-11-11,4,Mantra,제니 (JENNIE)
2024-11-11,5,UP (KARINA Solo),aespa
2024-11-11,6,HAPPY,DAY6 (데이식스)
2024-11-11,7,Drowning,WOODZ
2024-11-11,8,내 이름 맑음,QWER
2024-11-11,9,When I'm With You,NCT DREAM
2024-11-11,10,Supernova,aespa
2024-11-11,11,Igloo,KISS OF LIFE
2024-11-11,12,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-11-11,13,Cherish (My Love),아일릿(ILLIT)
2024-11-11,14,너와의 모든 지금,재쓰비 (JAESSBEE)
2024-11-11,15,Welcome to the Show,DAY6 (데이식스)
2024-11-11,16,녹아내려요,DAY6 (데이식스)
2024-11-11,17,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-11-11,18,네모네모,YENA (최예나)
2024-11-11,19,고민중독,QWER
2024-11-11,20,Supernatural,NewJeans
2024-11-11,21,How Sweet,NewJeans
2024-11-11,22,청춘만화,이무진
2024-11-11,23,Supersonic,프로미스나인
2024-11-11,24,DRIP,BABYMONSTER
2024-11-11,25,Armageddon,aespa
2024-11-11,26,소나기,이클립스 (ECLIPSE)
2024-11-11,27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-11-11,28,No Doubt,엔하이픈 (ENHYPEN)
2024-11-11,29,예뻤어,DAY6 (데이식스)
2024-11-11,30,Small girl (feat. 도경수(D.O.)),이영지
2024-11-11,31,Sticky,KISS OF LIFE
2024-11-11,32,Love wins all,아이유(IU)
2024-11-11,33,에피소드,이무진
2024-11-11,34,첫 만남은 계획대로 되지 않아,TWS (투어스)
2024-11-11,35,천상연,이창섭
2024-11-11,36,MEOW,MEOVV (미야오)
2024-11-11,37,나는 아픈 건 딱 질색이니까,(여자)아이들
2024-11-11,38,Magnetic,아일릿(ILLIT)
2024-11-11,39,나는 반딧불,황가람
2024-11-11,40,Ditto,NewJeans
2024-11-11,41,Bubble Gum,NewJeans
2024-11-11,42,Congratulations,DAY6 (데이식스)
2024-11-11,43,SOS,FIFTY FIFTY
2024-11-11,44,Gravity,FIFTY FIFTY
2024-11-11,45,Love me or Leave me,DAY6 (데이식스)
2024-11-11,46,Hype Boy,NewJeans
2024-11-11,47,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-11-11,48,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-11-11,49,클락션 (Klaxon),(여자)아이들
2024-11-11,50,I AM,IVE (아이브)
2024-11-11,51,해야 (HEYA),IVE (아이브)
2024-11-11,52,숲,최유리
2024-11-11,53,밤양갱,비비(BIBI)
2024-11-11,54,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-11-11,55,비의 랩소디,임재현
2024-11-11,56,To. X,태연 (TAEYEON)
2024-11-11,57,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-11-11,58,슬픈 초대장,순순희 (지환)
2024-11-11,59,여정,리베란테(Libelante)
2024-11-11,60,주저하는 연인들을 위해,잔나비
2024-11-11,61,Attention,NewJeans
2024-11-11,62,별별별 (See that?),NMIXX
2024-11-11,63,ETA,NewJeans
2024-11-11,64,그녀가 웃었다,DAY6 (데이식스)
2024-11-11,65,헤어지자 말해요,박재정
2024-11-11,66,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-11-11,67,너의 모든 순간,성시경
2024-11-11,68,Live My Life,aespa
2024-11-11,69,아직 거기 살아,DAY6 (데이식스)
